# generated from hanzi_chaizi simplified data; see THIRD_PARTY_NOTICES.md
jiongeryue	冐	mao	冂+二+月	2
yueyue	冐	mao	曰+月	2
riyue	冐	mao	日+月	2
youjionger	冑	zhou	由+冂+二	4
youyue	冑	zhou	由+月	4
jiongermu	冒	mao	冂+二+目	3290
yuemu	冒	mao	曰+目	3290
rimu	冒	mao	日+目	3290
jingzai	冓	gou	井+再	2
jiongeryu	冔	xu	冂+二+吁	1
jiongermian	冕	mian	冂+二+勉	84
yuemian	冕	mian	曰+勉	84
rimian	冕	mian	日+勉	84
xibing	冬	dong	夕+冰	1996
bingshui	冰	bing	冰+水	4841
binghu	冱	hu	冰+互	2
bingya	冴	hu	冰+牙	3
bingtai	冶	ye	冰+台	326
bingling	冷	leng	冰+令	6135
bingba	冹	fu	冰+犮	4
bingxian	冼	xian	冰+先	148
binglie	冽	lie	冰+列	61
binghe	冾	qia	冰+合	3
binggu	凅	gu	冰+固	2
bingzhui	准	zhun	冰+隹	4543
bingsong	凇	song	冰+松	22
bingzheng	净	jing	冰+争	2577
bingqing	凊	qing	冰+青	9
bingzhou	凋	diao	冰+周	245
bingling	凌	ling	冰+夌	1764
bingdong	冻	dong	冰+东	967
bingjin	凎	gan	冰+金	1
bingyin	凐	yin	冰+垔	2
bingcui	凗	cui	冰+崔	1
bingsi	凘	si	冰+斯	1
bingbing	凛	lin	冰+禀	129
bingyi	凝	ning	冰+疑	1031
bingxi	凞	xi	冰+熙	1
pieyi	几	ji	丿+乙	16625
jidian	凡	fan	几+丶	4520
xibu	处	chu	夕+卜	13722
dongbu	处	chu	夂+卜	13722
jijin	凧	zheng	几+巾	72
jiyiri	凬	feng	几+一+日	0
jihuang	凰	huang	几+皇	120
qiji	凯	kai	岂+几	1983
dengji	凳	deng	登+几	147
shanshan	出	chu	山+山	55547
ejue	刂	dao	丨+亅	72
daodian	刃	ren	刀+丶	557
badao	分	fen	八+刀	28803
qidao	切	qie	七+刀	9716
yidao	刈	yi	乂+刀	49
qidao	刉	ji	乞+刀	0
gandao	刊	kan	干+刀	522
qiandao	刋	qian	千+刀	4
cundao	刌	cun	寸+刀	0
daoxue	刍	chu	刀+彐	45
wudao	刎	wen	勿+刀	84
dandao	刐	dan	丹+刀	1
kaidao	刑	xing	开+刀	819
gedao	划	hua	戈+刀	1591
yuandao	刓	wan	元+刀	2
guaidao	刔	jue	夬+刀	1
daodaodao	刕	li	刀+刀+刀	1
yuedao	刖	yue	月+刀	12
daidao	列	lie	歹+刀	6282
fudao	刜	fu	弗+刀	1
yidao	初	chu	衣+刀	4757
qiedao	刞	qu	且+刀	1
mindao	刡	min	民+刀	0
bandao	判	pan	半+刀	1165
lingdao	别	bie	另+刀	48130
quli	劫	jie	去+力	740
baodao	刨	pao	包+刀	308
hedao	利	li	禾+刀	4951
cedao	删	shan	册+刀	4393
shedao	刮	gua	舌+刀	1343
zhidao	到	dao	至+刀	296879
guidao	刲	kui	圭+刀	3
kuadao	刳	ku	夸+刀	23
duodao	剁	duo	朵+刀	268
erdao	刵	er	耳+刀	1
pieerjindao	制	zhi	丿+二+巾+刀	4902
shijindao	刷	shua	尸+巾+刀	14316
cidao	刺	ci	朿+刀	1445
mujiongdao	刺	ci	木+冂+刀	1445
haidao	刻	ke	亥+刀	2370
didao	剃	ti	弟+刀	268
shengdao	刭	jing	圣+刀	14
gendao	剆	luo	艮+刀	0
beidao	则	ze	贝+刀	28270
zuodao	剉	cuo	坐+刀	6
xiaodao	削	xiao	肖+刀	381
shudao	剌	la	束+刀	132
shadao	刹	sha	杀+刀	256
bingren	剏	chuang	并+刃	1
xidao	剒	cuo	昔+刀	2
yidao	剔	ti	易+刀	146
feidao	剕	fei	非+刀	3
likoudao	剖	pou	立+口+刀	251
shidao	剚	zi	事+刀	5
gangdao	刚	gang	冈+刀	33324
wandao	剜	wan	宛+刀	66
ludao	剥	bo	录+刀	503
qidao	剞	ji	奇+刀	17
yandao	剡	shan	炎+刀	10
chudao	剢	zhuo	豖+刀	9
qiandao	剑	jian	佥+刀	5532
qidao	剂	ji	齐+刀	1693
chengdao	剩	sheng	乘+刀	1579
qiandao	剪	jian	前+刀	1712
dudao	剫	duo	度+刀	1
zhuandao	剬	zhi	耑+刀	8
wudao	剭	wu	屋+刀	1
guodao	剐	gua	呙+刀	94
haidao	割	ge	害+刀	1546
tadao	剳	zha	荅+刀	4
qidao	剀	kai	岂+刀	23
cangdao	创	chuang	仓+刀	2712
weifanchangdao	剺	li	未+攵+厂+刀	3
bengdao	剻	peng	崩+刀	1
piaodao	剽	piao	票+刀	28
chaodao	剿	jiao	巢+刀	57
yudao	劀	gua	矞+刀	2
jiaodao	劁	qiao	焦+刀	6
juedao	劂	jue	厥+刀	6
dadao	劄	zha	答+刀	4
judao	剧	ju	居+刀	2266
bidao	劈	pi	辟+刀	469
wendao	刘	liu	文+刀	11439
huidao	刽	gui	会+刀	4
zaodao	劋	jiao	喿+刀	3
suidao	刿	gui	岁+刀	22
bidao	劓	yi	鼻+刀	11
chandao	劖	chan	毚+刀	4
midao	劘	mo	靡+刀	2
lidao	劙	li	蠡+刀	5
gongli	功	gong	工+力	2090
likou	加	jia	力+口	44110
shaoli	劣	lie	少+力	291
jinli	劤	jing	斤+力	2
lilili	劦	xie	力+力+力	5
qieli	助	zhu	且+力	1559
nuli	努	nu	奴+力	418
juli	劬	qu	句+力	7
zhaoli	劭	shao	召+力	44
shili	劮	yi	失+力	2
shili	劯	zhu	石+力	2
jiaoli	効	xiao	交+力	4
kuangli	劻	kuang	匡+力	8
jili	劼	jie	吉+力	24
haili	劾	he	亥+力	24
keli	勀	kei	克+力	1
shengli	劲	jin	圣+力	2175
gaoli	勂	gao	告+力	0
beili	勃	bo	孛+力	347
shuli	勅	chi	束+力	5
yongli	勇	yong	甬+力	1939
mianli	勉	mian	免+力	153
jingli	勍	qing	京+力	8
mengli	勐	meng	孟+力	63
geli	勒	le	革+力	3034
jieli	勓	kai	皆+力	0
yunli	动	dong	云+力	9465
maoli	勖	xu	冒+力	33
rizhu	勗	xu	日+助	4
shenli	勘	kan	甚+力	133
xili	务	wu	夕+力	885
dongli	务	wu	夂+力	885
yuanli	勋	xun	员+力	530
rousheng	胜	sheng	肉+生	3699
yuesheng	胜	sheng	月+生	3699
moli	募	mu	莫+力	300
luli	勠	lu	翏+力	0
yilishi	势	shi	埶+力+勢	1112
zhilishi	势	shi	执+力+勢	1112
jinli	勤	qin	堇+力	1394
chaoli	勦	jiao	巢+力	2
youli	劝	quan	又+力	2132
fanli	勫	fan	番+力	54
danli	勯	dan	亶+力	24
xiesi	勰	xie	劦+思	16
wanli	劢	mai	万+力	85
donghuo	勲	xun	動+火	5
xunli	勳	xun	熏+力	11
lili	励	li	厉+力	244
xiangli	勷	rang	襄+力	2
baodian	勺	shao	勹+丶	437
baobing	匀	yun	勹+冰	343
baojiu	勼	jiu	勹+九	2
baosi	勾	gou	勹+厶	1280
baopiepie	勿	wu	勹+丿+丿	1214
baoji	包	bao	勹+己	15389
wudian	匆	cong	勿+丶	39
baoxiong	匈	xiong	勹+凶	56
baoping	匉	peng	勹+平	1
baomi	匊	ju	勹+米	2
baofou	匋	tao	勹+缶	4
baofu	匍	pu	勹+甫	9
baoyan	匎	e	勹+奄	0
kuabao	匏	pao	夸+包	12
baogong	匑	gong	勹+躬	1
baota	匒	da	勹+荅	1
renbi	化	hua	人+匕	11875
panbi	北	bei	丬+匕	6464
shibi	匙	shi	是+匕	125
xier	匹	pi	匸+儿	432
xihe	匼	ke	匸+合	3
xibian	匾	bian	匸+扁	111
xiruo	匿	ni	匸+若	149
xiyi	区	qu	匸+乂	25334
yie	十	shi	一+丨	5976
pieshi	千	qian	丿+十	5217
shie	卄	nian	十+丨	72
yiee	卄	nian	一+丨+丨	72
chuanyi	卅	sa	川+一	153
jiushi	卆	zu	九+十	71
qiane	升	sheng	千+丨	6266
pieshipie	升	sheng	丿+十+丿	6266
piegan	午	wu	丿+干	820
bayishi	半	ban	八+一+十	13186
pieeeeeyi	卌	xi	丿+丨+丨+丨+丨+一	4
chuaneyi	卌	xi	川+丨+一	4
diantianpieshi	卑	bei	丶+田+丿+十	457
wenrenshi	卒	zu	亠+人+十	365
burishi	卓	zhuo	卜+日+十	1329
shiban	协	xie	十+办	907
shijiongyaer	南	nan	十+冂+丫+二	7350
xiaojiayi	単	shan	小+甲+一	4
xiaorishi	単	shan	小+日+十	4
xiaoyueshi	単	shan	小+曰+十	4
shipo	博	bo	十+尃	5007
shifucun	博	bo	十+甫+寸	5007
edian	卜	bu	丨+丶	487
dianxia	卞	bian	丶+下	249
koubu	卟	bu	口+卜	139
bukou	占	zhan	卜+口	10562
shangbu	卡	ka	上+卜	30770
shangxia	卡	ka	上+下	30770
guibu	卦	gua	圭+卜	641
